org_id,org_name,org_type,lat,lon
ORG001,Healthcare System 1,Community Health Center,27.226621,-99.045733
ORG002,Healthcare System 2,Hospital,29.464215,-99.223508
ORG003,Healthcare System 3,Community Health Center,39.813355,-105.912171
ORG004,Healthcare System 4,Community Health Center,33.438436,-123.957097
ORG005,Healthcare System 5,Hospital,29.653218,-103.929344
ORG006,Healthcare System 6,Community Health Center,28.976753,-102.254045
ORG007,Healthcare System 7,Community Health Center,33.390396,-109.277683
ORG008,Healthcare System 8,Clinic,41.188609,-124.772543
ORG009,Healthcare System 9,Hospital,38.962788,-113.091232
ORG010,Healthcare System 10,Hospital,29.306275,-98.277705
ORG011,Healthcare System 11,Hospital,26.854917,-121.614927
ORG012,Healthcare System 12,Clinic,37.074521,-96.75051
ORG013,Healthcare System 13,Community Health Center,34.188498,-120.631084
ORG014,Healthcare System 14,Clinic,26.576004,-114.73876
ORG015,Healthcare System 15,Community Health Center,37.370395,-94.840258
ORG016,Healthcare System 16,Community Health Center,28.845772,-122.56557
ORG017,Healthcare System 17,Community Health Center,29.557966,-114.871421
ORG018,Healthcare System 18,Hospital,42.106354,-94.673072
ORG019,Healthcare System 19,Clinic,30.559472,-102.751044
ORG020,Healthcare System 20,Clinic,28.253082,-112.565525
ORG021,Healthcare System 21,Community Health Center,30.339556,-92.217089
ORG022,Healthcare System 22,Community Health Center,26.42805,-102.77576
ORG023,Healthcare System 23,Community Health Center,39.582536,-119.280913
ORG024,Healthcare System 24,Clinic,30.398957,-92.611309
ORG025,Healthcare System 25,Community Health Center,36.138995,-101.038501
ORG026,Healthcare System 26,Hospital,29.580961,-123.876491
ORG027,Healthcare System 27,Clinic,33.023296,-122.683399
ORG028,Healthcare System 28,Community Health Center,42.527353,-113.986274
ORG029,Healthcare System 29,Community Health Center,34.984625,-94.03609
ORG030,Healthcare System 30,Community Health Center,34.177037,-115.729194
