category,check_name,metric_value,detail
mart,mart_row_count,4969.0,data\marts\cleaned\mart_delay_scored_cleaned.csv
mart,duplicate_patient_id_rows,0.0,Extra rows beyond first occurrence for same patient_id
null_rate,patient_id,0.0,percent_null
null_rate,zip_code,0.0,percent_null
null_rate,svi_index,0.0,percent_null
null_rate,insurance_type,0.0,percent_null
null_rate,chd_type,0.0,percent_null
null_rate,symptom_onset_date,0.0,percent_null
null_rate,first_pcp_date,12.8,percent_null
null_rate,referral_date,50.98,percent_null
null_rate,specialist_date,61.98,percent_null
null_rate,diagnosis_date,79.03,percent_null
null_rate,intervention_date,79.03,percent_null
null_rate,days_symptom_to_pcp_clean,12.8,percent_null
null_rate,days_pcp_to_referral_clean,50.98,percent_null
null_rate,days_referral_to_specialist_clean,61.98,percent_null
null_rate,days_specialist_to_diagnosis_clean,79.03,percent_null
null_rate,days_diagnosis_to_intervention_clean,79.03,percent_null
null_rate,delay_severity_score_clean,0.0,percent_null
null_rate,chd_severity,0.0,percent_null
null_rate,referral_priority,0.0,percent_null
null_rate,clinic_region,0.0,percent_null
null_rate,provider_capacity_tier,0.0,percent_null
null_rate,distance_to_specialist_miles,0.0,percent_null
null_rate,authorization_status,0.0,percent_null
null_rate,specialist_appointment_status,0.0,percent_null
date_sequence,symptom_after_pcp,0.0,symptom_onset_date > first_pcp_date when both present
date_sequence,pcp_after_referral,0.0,first_pcp_date > referral_date when both present
date_sequence,referral_after_specialist,0.0,referral_date > specialist_date when both present
date_sequence,specialist_after_diagnosis,0.0,specialist_date > diagnosis_date when both present
date_sequence,diagnosis_after_intervention,0.0,diagnosis_date > intervention_date when both present
date_future,future_symptom_onset_date,0.0,Date strictly after as-of 2026-06-26
date_future,future_first_pcp_date,0.0,Date strictly after as-of 2026-06-26
date_future,future_referral_date,0.0,Date strictly after as-of 2026-06-26
date_future,future_specialist_date,0.0,Date strictly after as-of 2026-06-26
date_future,future_diagnosis_date,0.0,Date strictly after as-of 2026-06-26
date_future,future_intervention_date,0.0,Date strictly after as-of 2026-06-26
date_early,before_1995_symptom_onset_date,0.0,Date before 1995-01-01
date_early,before_1995_first_pcp_date,0.0,Date before 1995-01-01
date_early,before_1995_referral_date,0.0,Date before 1995-01-01
date_early,before_1995_specialist_date,0.0,Date before 1995-01-01
date_early,before_1995_diagnosis_date,0.0,Date before 1995-01-01
date_early,before_1995_intervention_date,0.0,Date before 1995-01-01
interval,negative_days_symptom_to_pcp_clean,0.0,Values < 0
interval,outlier_gt_730d_days_symptom_to_pcp_clean,0.0,Interval > 730 days (data quality flag)
interval,negative_days_pcp_to_referral_clean,0.0,Values < 0
interval,outlier_gt_730d_days_pcp_to_referral_clean,0.0,Interval > 730 days (data quality flag)
interval,negative_days_referral_to_specialist_clean,0.0,Values < 0
interval,outlier_gt_730d_days_referral_to_specialist_clean,0.0,Interval > 730 days (data quality flag)
interval,negative_days_specialist_to_diagnosis_clean,0.0,Values < 0
interval,outlier_gt_730d_days_specialist_to_diagnosis_clean,0.0,Interval > 730 days (data quality flag)
interval,negative_days_diagnosis_to_intervention_clean,0.0,Values < 0
interval,outlier_gt_730d_days_diagnosis_to_intervention_clean,0.0,Interval > 730 days (data quality flag)
delay_score,outlier_delay_score_gt_2500,0.0,Investigate long-tail delay engineering / documentation
raw_table,patients_csv_rows,60000.0,patients(Main Table).csv
raw_table,encounters_rows,127779.0,encounters.csv
raw_table,referrals_rows,26722.0,referrals.csv
raw_table,observations_rows,382981.0,observations.csv
alignment,mart_vs_funnel_symptom_cohort,0.0,mart_rows(4969) - funnel_symptom(4969)
