from_provider_id,referrals_sent,referral_completed_rate,provider_id,provider_name,specialty,org_id
PRV0001,132,0.7803030303030303,PRV0001,Dr. BD,Cardiology,ORG008
PRV0002,158,0.7531645569620253,PRV0002,Dr. CG,Pediatrics,ORG018
PRV0003,150,0.7133333333333334,PRV0003,Dr. DJ,Family Medicine,ORG019
PRV0004,151,0.7880794701986755,PRV0004,Dr. EM,Family Medicine,ORG019
PRV0005,130,0.7769230769230769,PRV0005,Dr. FP,Pulmonology,ORG008
PRV0006,131,0.7786259541984732,PRV0006,Dr. GS,Family Medicine,ORG005
PRV0007,126,0.7777777777777778,PRV0007,Dr. HV,Cardiology,ORG003
PRV0008,135,0.8074074074074075,PRV0008,Dr. IY,Pediatrics,ORG028
PRV0009,140,0.6857142857142857,PRV0009,Dr. JB,Pediatrics,ORG021
PRV0010,124,0.6774193548387096,PRV0010,Dr. KE,Family Medicine,ORG022
PRV0011,140,0.7214285714285714,PRV0011,Dr. LH,Family Medicine,ORG003
PRV0012,127,0.7401574803149606,PRV0012,Dr. MK,Pulmonology,ORG020
PRV0013,145,0.7862068965517242,PRV0013,Dr. NN,Pediatrics,ORG017
PRV0014,147,0.7619047619047619,PRV0014,Dr. OQ,Emergency Medicine,ORG018
PRV0015,153,0.8235294117647058,PRV0015,Dr. PT,Pediatric Cardiology,ORG001
PRV0016,128,0.796875,PRV0016,Dr. QW,Pediatric Cardiology,ORG004
PRV0017,143,0.7132867132867133,PRV0017,Dr. RZ,Cardiology,ORG018
PRV0018,117,0.7264957264957265,PRV0018,Dr. SC,Pediatric Cardiology,ORG025
PRV0019,118,0.7203389830508474,PRV0019,Dr. TF,Pediatrics,ORG004
PRV0020,136,0.7720588235294118,PRV0020,Dr. UI,Family Medicine,ORG006
PRV0021,150,0.7266666666666667,PRV0021,Dr. VL,Emergency Medicine,ORG024
PRV0022,111,0.7927927927927928,PRV0022,Dr. WO,Pulmonology,ORG009
PRV0023,153,0.7320261437908496,PRV0023,Dr. XR,Pediatrics,ORG025
