symptom_index_month,cohort_n,diagnosed_n,mean_delay_score,median_delay_score,diagnosis_rate,interpretation_note
2015-12,33,6,1840.3560606060605,1506.0,0.18181818181818182,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-01,51,15,1633.0882352941176,1482.0,0.29411764705882354,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-02,36,10,1852.1805555555557,2045.0,0.2777777777777778,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-03,42,12,1505.654761904762,1276.5,0.2857142857142857,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-04,40,8,1550.24375,1557.0,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-05,28,2,1795.7767857142858,1441.0,0.07142857142857142,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-06,41,7,1477.7743902439024,1523.0,0.17073170731707318,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-07,33,2,1290.75,1028.0,0.06060606060606061,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-08,37,13,1784.0202702702702,1647.0,0.35135135135135137,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-09,40,4,1366.175,1103.875,0.1,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-10,48,4,1813.4114583333333,1832.0,0.08333333333333333,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-11,33,5,1717.310606060606,2111.0,0.15151515151515152,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-12,45,14,1687.9666666666667,1680.0,0.3111111111111111,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-01,28,9,1624.5625,1504.0,0.32142857142857145,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-02,30,11,1643.8083333333334,1776.375,0.36666666666666664,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-03,40,9,1508.85,1313.0,0.225,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-04,41,15,2008.439024390244,1941.25,0.36585365853658536,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-05,39,10,1924.9679487179487,1762.75,0.2564102564102564,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-06,30,7,1133.8666666666666,694.0,0.23333333333333334,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-07,36,9,1569.8194444444443,1382.25,0.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-08,39,6,1454.076923076923,1364.0,0.15384615384615385,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-09,38,7,1322.2368421052631,896.0,0.18421052631578946,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-10,41,13,1808.2378048780488,1925.0,0.3170731707317073,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-11,40,6,1445.94375,1514.75,0.15,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-12,47,5,1202.468085106383,1162.0,0.10638297872340426,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-01,43,12,1749.0697674418604,1536.0,0.27906976744186046,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-02,44,10,1481.034090909091,1557.0,0.22727272727272727,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-03,32,4,1294.1328125,1084.125,0.125,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-04,46,11,1296.0489130434783,1064.5,0.2391304347826087,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-05,50,7,1375.43,1247.5,0.14,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-06,43,10,1385.0348837209303,1065.0,0.23255813953488372,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-07,32,6,1420.7734375,983.0,0.1875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-08,32,8,1292.21875,1051.0,0.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-09,31,10,1465.8387096774193,1049.0,0.3225806451612903,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-10,37,6,1131.2635135135135,1228.0,0.16216216216216217,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-11,48,11,1588.859375,1435.625,0.22916666666666666,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2018-12,41,8,1132.0,980.0,0.1951219512195122,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-01,39,8,1145.6602564102564,869.0,0.20512820512820512,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-02,39,10,1228.5384615384614,1101.25,0.2564102564102564,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-03,38,6,971.1776315789474,926.5,0.15789473684210525,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-04,37,6,1134.472972972973,870.0,0.16216216216216217,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-05,32,7,1148.8515625,814.0,0.21875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-06,31,4,1275.3145161290322,1478.0,0.12903225806451613,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-07,41,7,1078.3841463414635,999.0,0.17073170731707318,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-08,39,9,1313.7884615384614,1291.0,0.23076923076923078,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-09,37,11,1197.195945945946,1013.0,0.2972972972972973,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-10,50,10,1493.39,1350.0,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-11,40,5,1003.2,1004.375,0.125,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2019-12,44,11,1165.971590909091,1165.375,0.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-01,49,9,996.5102040816327,930.0,0.1836734693877551,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-02,31,3,1325.25,1424.0,0.0967741935483871,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-03,40,11,1390.9375,1422.25,0.275,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-04,43,7,806.8837209302326,466.5,0.16279069767441862,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-05,42,12,916.4285714285714,833.75,0.2857142857142857,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-06,35,9,1003.1785714285714,1189.0,0.2571428571428571,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-07,52,12,948.3846153846154,1082.5,0.23076923076923078,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-08,39,9,935.0961538461538,764.0,0.23076923076923078,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-09,39,8,881.8846153846154,804.0,0.20512820512820512,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-10,36,7,814.8888888888889,591.5,0.19444444444444445,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-11,36,11,745.5069444444445,387.0,0.3055555555555556,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2020-12,40,8,1058.54375,943.5,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-01,40,10,908.24375,589.5,0.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-02,34,9,922.3602941176471,893.75,0.2647058823529412,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-03,43,10,491.04651162790697,406.0,0.23255813953488372,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-04,33,6,891.219696969697,848.0,0.18181818181818182,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-05,26,7,1192.076923076923,942.5,0.2692307692307692,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-06,34,11,616.7132352941177,456.25,0.3235294117647059,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-07,45,9,745.1222222222223,831.0,0.2,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-08,44,8,911.4261363636364,911.5,0.18181818181818182,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2021-09,46,7,667.179347826087,539.5,0.15217391304347827,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
