month_of_first_symptom,patients_in_monthly_cohort,patients_with_diagnosis,diagnosis_rate,average_delay_score,median_delay_score,note
2015-12,33,6,0.1818181818181818,1840.3560606060605,1506.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-01,51,15,0.2941176470588235,1633.0882352941176,1482.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-02,36,10,0.2777777777777778,1852.180555555556,2045.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-03,42,12,0.2857142857142857,1505.654761904762,1276.5,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-04,40,8,0.2,1550.24375,1557.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-05,28,2,0.0714285714285714,1795.7767857142858,1441.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-06,41,7,0.1707317073170731,1477.7743902439024,1523.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-07,33,2,0.0606060606060606,1290.75,1028.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-08,37,13,0.3513513513513513,1784.0202702702702,1647.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-09,40,4,0.1,1366.175,1103.875,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-10,48,4,0.0833333333333333,1813.4114583333333,1832.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-11,33,5,0.1515151515151515,1717.310606060606,2111.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2016-12,45,14,0.3111111111111111,1687.9666666666667,1680.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-01,28,9,0.3214285714285714,1624.5625,1504.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-02,30,11,0.3666666666666666,1643.8083333333334,1776.375,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-03,40,9,0.225,1508.85,1313.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-04,41,15,0.3658536585365853,2008.439024390244,1941.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-05,39,10,0.2564102564102564,1924.9679487179487,1762.75,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-06,30,7,0.2333333333333333,1133.8666666666666,694.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-07,36,9,0.25,1569.8194444444443,1382.25,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
2017-08,39,6,0.1538461538461538,1454.076923076923,1364.0,Mature months: symptom <= 2025-05-27 (max symptom 2025-11-27 minus 6m lag).
