provider_id,provider_name,specialty,referrals_sent,referral_completion_rate
PRV0134,Dr. EM,Pediatrics,134,0.6716
PRV0010,Dr. KE,Family Medicine,124,0.6774
PRV0172,Dr. QW,Cardiology,137,0.6788
PRV0129,Dr. ZX,Emergency Medicine,128,0.6797
PRV0009,Dr. JB,Pediatrics,140,0.6857
PRV0110,Dr. GS,Family Medicine,132,0.6894
PRV0141,Dr. LH,Pediatrics,152,0.6908
PRV0189,Dr. HV,Pediatrics,143,0.6923
PRV0039,Dr. NN,Family Medicine,137,0.6934
PRV0095,Dr. RZ,Pediatrics,154,0.6948
PRV0118,Dr. OQ,Pediatrics,115,0.6957
PRV0159,Dr. DJ,Pediatrics,132,0.697
PRV0043,Dr. RZ,Pediatric Cardiology,120,0.7
PRV0061,Dr. JB,Family Medicine,132,0.7045
PRV0055,Dr. DJ,Pediatrics,136,0.7059
PRV0065,Dr. NN,Family Medicine,140,0.7071
PRV0153,Dr. XR,Pediatric Cardiology,103,0.7087
PRV0136,Dr. GS,Emergency Medicine,141,0.7092
PRV0171,Dr. PT,Family Medicine,131,0.7099
PRV0066,Dr. OQ,Family Medicine,138,0.7101
PRV0080,Dr. CG,Pediatrics,146,0.7123
PRV0003,Dr. DJ,Family Medicine,150,0.7133
PRV0017,Dr. RZ,Cardiology,143,0.7133
PRV0151,Dr. VL,Pulmonology,154,0.7143
PRV0178,Dr. WO,Family Medicine,133,0.7143
PRV0194,Dr. MK,Pulmonology,141,0.7163
PRV0182,Dr. AA,Pediatrics,152,0.7171
PRV0091,Dr. NN,Pediatric Cardiology,131,0.7176
PRV0046,Dr. UI,Pediatric Cardiology,124,0.7177
PRV0081,Dr. DJ,Emergency Medicine,142,0.7183
PRV0144,Dr. OQ,Pediatrics,128,0.7188
PRV0019,Dr. TF,Pediatrics,118,0.7203
PRV0069,Dr. RZ,Pediatrics,129,0.7209
PRV0103,Dr. ZX,Family Medicine,129,0.7209
PRV0011,Dr. LH,Family Medicine,140,0.7214
PRV0157,Dr. BD,Cardiology,140,0.7214
PRV0058,Dr. GS,Pediatrics,158,0.7215
PRV0026,Dr. AA,Family Medicine,115,0.7217
PRV0197,Dr. PT,Pediatric Cardiology,126,0.7222
PRV0060,Dr. IY,Cardiology,130,0.7231
PRV0140,Dr. KE,Pediatric Cardiology,130,0.7231
PRV0180,Dr. YU,Pediatrics,141,0.7234
PRV0086,Dr. IY,Pediatrics,134,0.7239
PRV0098,Dr. UI,Emergency Medicine,127,0.7244
PRV0102,Dr. YU,Pediatric Cardiology,138,0.7246
PRV0018,Dr. SC,Pediatric Cardiology,117,0.7265
PRV0021,Dr. VL,Emergency Medicine,150,0.7267
PRV0041,Dr. PT,Pulmonology,143,0.7273
PRV0038,Dr. MK,Pediatrics,132,0.7273
PRV0092,Dr. OQ,Pediatrics,121,0.7273
PRV0106,Dr. CG,Pediatrics,125,0.728
PRV0164,Dr. IY,Cardiology,129,0.7287
PRV0087,Dr. JB,Pediatrics,122,0.7295
PRV0185,Dr. DJ,Pediatric Cardiology,148,0.7297
PRV0072,Dr. UI,Pediatrics,137,0.7299
