symptom_month,cohort_n,diagnosed_n,diagnosis_rate,avg_delay_score
2018-01,85,14,0.1647,17.71
2018-02,69,16,0.2319,13.02
2018-03,71,16,0.2254,13.19
2018-04,76,16,0.2105,15.72
2018-05,80,17,0.2125,14.4
2018-06,78,11,0.141,11.01
2018-07,67,10,0.1493,14.9
2018-08,70,16,0.2286,12.58
2018-09,81,23,0.284,18.78
2018-10,76,17,0.2237,12.63
2018-11,100,21,0.21,18.09
2018-12,66,13,0.197,14.34
2019-01,76,21,0.2763,17.16
2019-02,57,14,0.2456,11.71
2019-03,80,19,0.2375,14.5
2019-04,77,16,0.2078,18.3
2019-05,85,17,0.2,12.54
2019-06,71,14,0.1972,13.9
2019-07,66,16,0.2424,15.03
2019-08,73,17,0.2329,14.7
2019-09,69,15,0.2174,11.55
2019-10,67,17,0.2537,14.12
2019-11,64,11,0.1719,9.66
2019-12,88,17,0.1932,15.91
2020-01,66,17,0.2576,13.33
2020-02,79,15,0.1899,15.33
2020-03,66,10,0.1515,10.76
2020-04,74,19,0.2568,14.31
2020-05,89,20,0.2247,15.36
2020-06,76,14,0.1842,15.44
2020-07,77,12,0.1558,14.56
2020-08,83,13,0.1566,13.41
2020-09,73,13,0.1781,12.74
2020-10,86,19,0.2209,15.43
2020-11,78,19,0.2436,15.59
2020-12,84,15,0.1786,14.05
2021-01,81,19,0.2346,16.0
2021-02,63,12,0.1905,13.34
2021-03,68,13,0.1912,15.74
2021-04,76,21,0.2763,14.66
2021-05,94,24,0.2553,13.43
2021-06,88,15,0.1705,13.37
2021-07,81,20,0.2469,14.51
2021-08,88,14,0.1591,13.14
2021-09,78,15,0.1923,13.14
2021-10,82,18,0.2195,13.64
2021-11,80,14,0.175,14.64
2021-12,67,13,0.194,13.06
2022-01,84,14,0.1667,12.3
2022-02,52,11,0.2115,14.56
2022-03,89,22,0.2472,19.4
2022-04,68,18,0.2647,15.79
2022-05,70,13,0.1857,13.82
2022-06,83,18,0.2169,17.97
2022-07,70,19,0.2714,14.5
2022-08,72,17,0.2361,15.86
2022-09,77,17,0.2208,16.2
2022-10,78,13,0.1667,13.75
2022-11,55,11,0.2,10.73
2022-12,74,14,0.1892,12.34
2023-01,92,22,0.2391,15.33
2023-02,63,10,0.1587,16.65
2023-03,62,11,0.1774,16.4
2023-04,77,18,0.2338,13.14
2023-05,64,7,0.1094,12.94
2023-06,70,19,0.2714,14.48
