provider_id,provider_name,specialty,referrals_sent,completion_rate,specialty_avg_completion,vs_specialty_avg,rank_within_specialty
PRV0270,Clinician 270,Cardiology,142,0.8521,0.7597,0.0924,1
PRV0279,Clinician 279,Cardiology,123,0.813,0.7597,0.0533,2
PRV0200,Clinician 200,Cardiology,126,0.8016,0.7597,0.0419,3
PRV0084,Clinician 084,Cardiology,128,0.7969,0.7597,0.0372,4
PRV0114,Clinician 114,Cardiology,127,0.7953,0.7597,0.0356,5
PRV0245,Clinician 245,Cardiology,125,0.792,0.7597,0.0323,6
PRV0100,Clinician 100,Cardiology,123,0.7886,0.7597,0.0289,7
PRV0230,Clinician 230,Cardiology,124,0.7823,0.7597,0.0226,8
PRV0088,Clinician 088,Cardiology,123,0.7805,0.7597,0.0208,9
PRV0282,Clinician 282,Cardiology,110,0.7727,0.7597,0.013,10
PRV0302,Clinician 302,Cardiology,127,0.7559,0.7597,-0.0038,11
PRV0237,Clinician 237,Cardiology,157,0.7516,0.7597,-0.0081,12
PRV0155,Clinician 155,Cardiology,111,0.7477,0.7597,-0.012,13
PRV0244,Clinician 244,Cardiology,142,0.7465,0.7597,-0.0132,14
PRV0257,Clinician 257,Cardiology,126,0.746,0.7597,-0.0137,15
PRV0198,Clinician 198,Cardiology,147,0.7347,0.7597,-0.025,16
PRV0286,Clinician 286,Cardiology,146,0.7329,0.7597,-0.0268,17
PRV0266,Clinician 266,Cardiology,138,0.7319,0.7597,-0.0278,18
PRV0115,Clinician 115,Cardiology,117,0.7265,0.7597,-0.0332,19
PRV0317,Clinician 317,Cardiology,134,0.7164,0.7597,-0.0433,20
PRV0256,Clinician 256,Cardiology,124,0.7097,0.7597,-0.05,21
PRV0137,Clinician 137,Cardiology,130,0.7077,0.7597,-0.052,22
PRV0141,Clinician 141,Cardiology,113,0.6903,0.7597,-0.0694,23
PRV0113,Clinician 113,Emergency Medicine,139,0.8705,0.7634,0.1071,1
