symptom_month,cohort_n,diagnosed_n,monthly_diagnosis_rate_pct,running_total_patients,running_total_diagnosed,cumulative_diagnosis_rate_pct
2019-01,264,73,27.7,264,73,27.7
2019-02,242,67,27.7,506,140,27.7
2019-03,281,80,28.5,787,220,28.0
2019-04,240,61,25.4,1027,281,27.4
2019-05,250,80,32.0,1277,361,28.3
2019-06,258,74,28.7,1535,435,28.3
2019-07,267,63,23.6,1802,498,27.6
2019-08,264,68,25.8,2066,566,27.4
2019-09,250,60,24.0,2316,626,27.0
2019-10,249,73,29.3,2565,699,27.3
2019-11,238,61,25.6,2803,760,27.1
2019-12,252,69,27.4,3055,829,27.1
2020-01,242,75,31.0,3297,904,27.4
2020-02,252,58,23.0,3549,962,27.1
2020-03,293,74,25.3,3842,1036,27.0
2020-04,242,63,26.0,4084,1099,26.9
2020-05,243,68,28.0,4327,1167,27.0
2020-06,247,68,27.5,4574,1235,27.0
2020-07,242,58,24.0,4816,1293,26.8
2020-08,265,73,27.5,5081,1366,26.9
2020-09,267,70,26.2,5348,1436,26.9
2020-10,258,85,32.9,5606,1521,27.1
2020-11,260,60,23.1,5866,1581,27.0
2020-12,254,59,23.2,6120,1640,26.8
2021-01,250,68,27.2,6370,1708,26.8
2021-02,221,49,22.2,6591,1757,26.7
2021-03,227,54,23.8,6818,1811,26.6
2021-04,253,55,21.7,7071,1866,26.4
2021-05,266,72,27.1,7337,1938,26.4
2021-06,255,70,27.5,7592,2008,26.4
2021-07,271,68,25.1,7863,2076,26.4
2021-08,259,57,22.0,8122,2133,26.3
2021-09,254,68,26.8,8376,2201,26.3
2021-10,246,72,29.3,8622,2273,26.4
2021-11,240,57,23.8,8862,2330,26.3
2021-12,240,64,26.7,9102,2394,26.3
2022-01,226,65,28.8,9328,2459,26.4
2022-02,236,56,23.7,9564,2515,26.3
2022-03,265,68,25.7,9829,2583,26.3
2022-04,245,78,31.8,10074,2661,26.4
2022-05,266,60,22.6,10340,2721,26.3
2022-06,223,61,27.4,10563,2782,26.3
2022-07,249,67,26.9,10812,2849,26.4
2022-08,253,68,26.9,11065,2917,26.4
2022-09,239,63,26.4,11304,2980,26.4
2022-10,251,62,24.7,11555,3042,26.3
2022-11,240,72,30.0,11795,3114,26.4
2022-12,267,67,25.1,12062,3181,26.4
2023-01,240,62,25.8,12302,3243,26.4
2023-02,245,63,25.7,12547,3306,26.3
2023-03,235,58,24.7,12782,3364,26.3
2023-04,241,63,26.1,13023,3427,26.3
2023-05,234,58,24.8,13257,3485,26.3
2023-06,242,58,24.0,13499,3543,26.2
2023-07,247,66,26.7,13746,3609,26.3
2023-08,259,81,31.3,14005,3690,26.3
2023-09,259,61,23.6,14264,3751,26.3
2023-10,269,81,30.1,14533,3832,26.4
2023-11,235,58,24.7,14768,3890,26.3
2023-12,232,58,25.0,15000,3948,26.3
