chd_type,total_patients,pct_reached_pcp,pct_pcp_to_referral,pct_referral_to_specialist,pct_specialist_to_diagnosis,overall_diagnosis_rate_pct,avg_delay_score
Other complex CHD,1179,94.8,67.5,85.3,67.1,36.6,8.7
Double Outlet Right Ventricle (DORV),109,96.3,62.9,89.4,62.7,33.9,9.63
Tricuspid Atresia,89,95.5,61.2,88.5,63.0,32.6,7.64
Transposition of the Great Arteries,198,94.4,69.0,85.3,56.4,31.3,9.56
Hypoplastic Left Heart Syndrome,135,93.3,69.0,87.4,55.3,31.1,8.21
Tetralogy of Fallot,287,85.0,51.2,76.8,54.2,18.1,13.5
Coarctation of the Aorta,285,87.4,57.0,71.1,50.5,17.9,13.09
Atrial Septal Defect (ASD),636,82.1,49.6,71.4,48.6,14.2,21.05
Ventricular Septal Defect (VSD),1632,83.0,48.7,71.2,43.1,12.4,16.91
Patent Ductus Arteriosus (PDA),419,81.9,47.2,63.6,43.7,10.7,20.13
