cohort_month,patients,diagnoses,diagnosis_rate_pct,month_over_month_change_pp,rolling_3_month_rate_pct
2019-01,264,73,27.7,,27.7
2019-02,242,67,27.7,0.0,27.7
2019-03,281,80,28.5,0.8,27.9
2019-04,240,61,25.4,-3.1,27.2
2019-05,250,80,32.0,6.6,28.6
2019-06,258,74,28.7,-3.3,28.7
2019-07,267,63,23.6,-5.1,28.1
2019-08,264,68,25.8,2.2,26.0
2019-09,250,60,24.0,-1.8,24.5
2019-10,249,73,29.3,5.3,26.4
2019-11,238,61,25.6,-3.7,26.3
2019-12,252,69,27.4,1.8,27.4
2020-01,242,75,31.0,3.6,28.0
2020-02,252,58,23.0,-8.0,27.1
2020-03,293,74,25.3,2.2,26.4
2020-04,242,63,26.0,0.8,24.8
2020-05,243,68,28.0,2.0,26.4
2020-06,247,68,27.5,-0.5,27.2
2020-07,242,58,24.0,-3.6,26.5
2020-08,265,73,27.5,3.6,26.3
2020-09,267,70,26.2,-1.3,25.9
2020-10,258,85,32.9,6.7,28.9
2020-11,260,60,23.1,-9.9,27.4
2020-12,254,59,23.2,0.2,26.4
2021-01,250,68,27.2,4.0,24.5
2021-02,221,49,22.2,-5.0,24.2
2021-03,227,54,23.8,1.6,24.4
2021-04,253,55,21.7,-2.0,22.6
2021-05,266,72,27.1,5.3,24.2
2021-06,255,70,27.5,0.4,25.4
2021-07,271,68,25.1,-2.4,26.5
2021-08,259,57,22.0,-3.1,24.9
2021-09,254,68,26.8,4.8,24.6
2021-10,246,72,29.3,2.5,26.0
2021-11,240,57,23.8,-5.5,26.6
2021-12,240,64,26.7,2.9,26.6
2022-01,226,65,28.8,2.1,26.4
2022-02,236,56,23.7,-5.0,26.4
2022-03,265,68,25.7,1.9,26.1
2022-04,245,78,31.8,6.2,27.1
2022-05,266,60,22.6,-9.3,26.7
2022-06,223,61,27.4,4.8,27.2
2022-07,249,67,26.9,-0.4,25.6
2022-08,253,68,26.9,-0.0,27.0
2022-09,239,63,26.4,-0.5,26.7
2022-10,251,62,24.7,-1.7,26.0
2022-11,240,72,30.0,5.3,27.0
2022-12,267,67,25.1,-4.9,26.6
2023-01,240,62,25.8,0.7,27.0
2023-02,245,63,25.7,-0.1,25.5
2023-03,235,58,24.7,-1.0,25.4
2023-04,241,63,26.1,1.5,25.5
2023-05,234,58,24.8,-1.4,25.2
2023-06,242,58,24.0,-0.8,25.0
2023-07,247,66,26.7,2.8,25.2
2023-08,259,81,31.3,4.6,27.3
2023-09,259,61,23.6,-7.7,27.2
2023-10,269,81,30.1,6.6,28.3
2023-11,235,58,24.7,-5.4,26.1
2023-12,232,58,25.0,0.3,26.6
